Cristiano Ronaldo dos Santos Aveiro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Harry Kane can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luis Alberto Suárez Díaz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Robert Lewandowski can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Edinson Roberto Cavani Gómez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Pierre-Emerick Aubameyang can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Karim Benzema can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ciro Immobile can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Romelu Lukaku can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mauro Emanuel Icardi Rivero can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Zlatan Ibrahimović can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gonzalo Gerardo Higuaín can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gareth Frank Bale can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Edin Džeko can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mario Mandžukić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luka Jović can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Arkadiusz Milik can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Timo Werner can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Borja Iglesias Quintas can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Francisco Alcácer García can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Álvaro Borja Morata Martín can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sébastien Haller can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fabio Quagliarella can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Radamel Falcao García Zárate can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Diego da Silva Costa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rodrigo Moreno Machado can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lourival Adnan Beretta Barbosa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrea Belotti can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Iñaki Williams Arthuer can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Willian José da Silva can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Aritz Aduriz Zubeldia can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Olivier Giroud can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mario  Barwuah Balotelli can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Bas Dost can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luuk de Jong can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cédric Bakambu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jamie Vardy can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Duván Zapata can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lautaro Martínez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Josef Alexander Martínez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alassane Plea can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yussuf Yurary Poulsen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gerard Moreno Balagueró can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Wout Weghorst can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lisandro López can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Bafétimbi Gomis can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marcos Javier Acuña can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luis Roberto Dálves can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Segundo Mandíquez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nicolò Barella can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Krzysztof Piątek can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Moussa Dembélé can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Santiago Mina Lorenzo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Maximiliano Gómez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lorenzo Morón García can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ante Rebić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Callum Wilson can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Moanes Dabour can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Wayne Mark Rooney can substitute for the position ls, Left striking position, which is a(n) attacker position. 
André-Pierre Gignac can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jorge Molina Vidal can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Charles Dias De Oliveira can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lucas David Pratto can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fyodor Smolov can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Givanildo Vieira de Souza can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sergio Enrich Ametller can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Simone Zaza can substitute for the position ls, Left striking position, which is a(n) attacker position. 
