Jan Oblak can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Marc-André ter Stegen can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Alisson Ramses Becker can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
David De Gea Quintana can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Ederson Santana de Moraes can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Thibaut Courtois can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Samir Handanovič can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Manuel Neuer can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Hugo Lloris can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Keylor Navas can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Wojciech  Szczęsny can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Gianluigi Donnarumma can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Anthony Lopes can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Péter Gulácsi can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Roman Bürki can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Norberto Murara Neto can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Kepa Arrizabalaga can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Bernd Leno can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Jiří Pavlenka can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Stéphane Ruffier can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Salvatore Sirigu can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Yann Sommer can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Pau López Sabata can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Jordan Pickford can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Koen Casteels can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Kevin Trapp can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Jasper Cillessen can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Gianluigi Buffon can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Iker Casillas Fernández can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Rune  Almenning Jarstein can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Kasper Schmeichel can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Rui Pedro dos Santos Patrício can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Lukáš Hrádecký can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Thomas Strakosha can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
André Onana can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
Alphonse Areola can substitute for the position gk, Goalkeeper position, which is a(n) goal keeper position. 
