sofifa_id,long_name,short_name,overall
158023,Lionel Andrés Messi Cuccittini,L. Messi,94
20801,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo,93
190871,Neymar da Silva Santos Junior,Neymar Jr,92
200389,Jan Oblak,J. Oblak,91
183277,Eden Hazard,E. Hazard,91
192985,Kevin De Bruyne,K. De Bruyne,91
192448,Marc-André ter Stegen,M. ter Stegen,90
203376,Virgil van Dijk,V. van Dijk,90
177003,Luka Modrić,L. Modrić,90
209331,Mohamed  Salah Ghaly,M. Salah,90
231747,Kylian Mbappé,K. Mbappé,89
201024,Kalidou Koulibaly,K. Koulibaly,89
202126,Harry Kane,H. Kane,89
212831,Alisson Ramses Becker,Alisson,89
193080,David De Gea Quintana,De Gea,89
215914,N'Golo Kanté,N. Kanté,89
138956,Giorgio Chiellini,G. Chiellini,89
153079,Sergio Leonel Agüero del Castillo,S. Agüero,89
155862,Sergio Ramos García,Sergio Ramos,89
176580,Luis Alberto Suárez Díaz,L. Suárez,89
188545,Robert Lewandowski,R. Lewandowski,89
189511,Sergio Busquets i Burgos,Sergio Busquets,89
194765,Antoine Griezmann,A. Griezmann,89
211110,Paulo Bruno Exequiel Dybala,P. Dybala,88
195864,Paul Pogba,P. Pogba,88
210257,Ederson Santana de Moraes,Ederson,88
202652,Raheem Sterling,R. Sterling,88
190460,Christian  Dannemann Eriksen,C. Eriksen,88
192119,Thibaut Courtois,T. Courtois,88
152729,Gerard Piqué Bernabéu,Piqué,88
162835,Samir Handanovič,S. Handanovič,88
167495,Manuel Neuer,M. Neuer,88
167948,Hugo Lloris,H. Lloris,88
168542,David Josué Jiménez Silva,David Silva,88
179813,Edinson Roberto Cavani Gómez,E. Cavani,88
182493,Diego Godín,D. Godín,88
182521,Toni Kroos,T. Kroos,88
188350,Marco Reus,M. Reus,88
188567,Pierre-Emerick Aubameyang,P. Aubameyang,88
208722,Sadio Mané,S. Mané,88
212218,Aymeric  Laporte,A. Laporte,87
218667,Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,87
200145,Carlos Henrique Venancio Casimiro,Casemiro,87
200104,손흥민 孙兴慜,H. Son,87
135507,Fernando Luiz Rosa,Fernandinho,87
164240,Thiago Emiliano da Silva,Thiago Silva,87
165153,Karim Benzema,K. Benzema,87
172871,Jan Vertonghen,J. Vertonghen,87
175943,Dries Mertens,D. Mertens,87
178603,Mats  Hummels,M. Hummels,87
184087,Toby Alderweireld,T. Alderweireld,87
189332,Jordi Alba Ramos,Jordi Alba,87
189509,Thiago Alcântara do Nascimento,Thiago,87
193041,Keylor Navas,K. Navas,87
198219,Lorenzo Insigne,L. Insigne,87
222492,Leroy Sané,L. Sané,86
207865,Marcos  Aoás Corrêa,Marquinhos,86
232363,Milan Škriniar,M. Škriniar,86
199556,Marco Verratti,M. Verratti,86
205600,Samuel Umtiti,S. Umtiti,86
186153,Wojciech  Szczęsny,W. Szczęsny,86
212622,Joshua Kimmich,J. Kimmich,86
197781,Francisco Román Alarcón Suárez,Isco,86
201942,Roberto Firmino Barbosa de Oliveira,Roberto Firmino,86
168651,Ivan Rakitić,I. Rakitić,86
180206,Miralem Pjanić,M. Pjanić,86
183898,Ángel Fabián Di María Hernández,A. Di María,86
184344,Leonardo Bonucci,L. Bonucci,86
189242,Philippe Coutinho Correia,Coutinho,86
189513,Daniel Parejo Muñoz,Parejo,86
189596,Thomas Müller,T. Müller,86
192387,Ciro Immobile,C. Immobile,86
193301,Alexandre Lacazette,A. Lacazette,86
235243,Matthijs de Ligt,M. de Ligt,85
230621,Gianluigi Donnarumma,G. Donnarumma,85
228702,Frenkie de Jong,F. de Jong,85
201535,Raphaël Varane,R. Varane,85
212190,Niklas Süle,N. Süle,85
223848,Sergej Milinković-Savić,S. Milinković-Savić,85
231866,Rodrigo Hernández Cascante,Rodri,85
208421,Saúl Ñíguez Esclápez,Saúl,85
209499,Fábio Henrique Tavares,Fabinho,85
216267,Andrew Robertson,A. Robertson,85
216460,José María Giménez de Vargas,J. Giménez,85
220440,Clément Lenglet,C. Lenglet,85
212198,Bruno Miguel Borges Fernandes,Bruno Fernandes,85
199482,Anthony Lopes,A. Lopes,85
185122,Péter Gulácsi,P. Gulácsi,85
189117,Roman Bürki,R. Bürki,85
192505,Romelu Lukaku,R. Lukaku,85
192774,Kostas Manolas,K. Manolas,85
194404,Norberto Murara Neto,Neto,85
197445,David Olatukunbo Alaba,D. Alaba,85
201399,Mauro Emanuel Icardi Rivero,M. Icardi,85
204963,Daniel Carvajal Ramos,Carvajal,85
208670,Hakim Ziyech,H. Ziyech,85
41236,Zlatan Ibrahimović,Z. Ibrahimović,85
143076,Alejandro Darío Gómez,A. Gómez,85
167664,Gonzalo Gerardo Higuaín,G. Higuaín,85
170890,Blaise Matuidi,B. Matuidi,85
173731,Gareth Frank Bale,G. Bale,85
176676,Marcelo Vieira da Silva Júnior,Marcelo,85
177413,Axel  Witsel,A. Witsel,85
191043,Alex Sandro Lobo Silva,Alex Sandro,85
192629,Iago Aspas Juncal,Iago Aspas,85
193747,Jorge Resurrección Merodio,Koke,85
198710,James David Rodríguez Rubio,J. Rodríguez,85
199914,Allan Marques Loureiro,Allan,85
233049,Jadon Sancho,J. Sancho,84
235790,Kai Havertz,K. Havertz,84
231443,Ousmane Dembélé,O. Dembélé,84
